entity_id,short_name,component,series_id,series_label,raw,score
gpt-5.6-sol-max,Sol,capability,deepswe-v1.1-pass1,DeepSWE Pass@1,0.726667,83.956441
gpt-5.6-sol-max,Sol,capability,epoch-chess-puzzles,Chess puzzles,0.55,96.129618
gpt-5.6-sol-max,Sol,capability,epoch-critpt,CritPt,0.323,80.599167
gpt-5.6-sol-max,Sol,capability,epoch-gpqa,GPQA Diamond,0.934975,88.939012
gpt-5.6-sol-max,Sol,capability,epoch-otis-aime,OTIS Mock AIME,1.0,99.86501
gpt-5.6-sol-max,Sol,capability,epoch-scicode,SciCode,0.561343,89.807907
gpt-5.6-sol-max,Sol,capability,epoch-weirdml,WeirdML,0.8697,99.86501
gpt-5.6-sol-max,Sol,operational_efficiency,deepswe-agent-steps,DeepSWE steps,61.253333,60.28592
gpt-5.6-sol-max,Sol,operational_efficiency,deepswe-output-tokens,DeepSWE tokens,60013.644444,42.568025
gpt-5.6-sol-max,Sol,access_economics,weirdml-cost-per-run,WeirdML cost/run,2.312208,26.290398
kimi-k3-max,Kimi K3,capability,deepswe-v1.1-pass1,DeepSWE Pass@1,0.685144,77.391605
kimi-k3-max,Kimi K3,capability,epoch-chess-puzzles,Chess puzzles,0.39,85.195911
kimi-k3-max,Kimi K3,capability,epoch-critpt,CritPt,0.234,76.580345
kimi-k3-max,Kimi K3,capability,epoch-gpqa,GPQA Diamond,0.931187,87.993446
kimi-k3-max,Kimi K3,capability,epoch-otis-aime,OTIS Mock AIME,0.972222,91.404656
kimi-k3-max,Kimi K3,capability,epoch-scicode,SciCode,0.586806,94.02314
kimi-k3-max,Kimi K3,capability,epoch-weirdml,WeirdML,0.8257,99.807552
kimi-k3-max,Kimi K3,operational_efficiency,deepswe-agent-steps,DeepSWE steps,97.587583,28.131176
kimi-k3-max,Kimi K3,operational_efficiency,deepswe-output-tokens,DeepSWE tokens,81499.842572,27.638808
kimi-k3-max,Kimi K3,access_economics,weirdml-cost-per-run,WeirdML cost/run,2.053659,28.274921
claude-opus-5-max,Opus 5,capability,deepswe-v1.1-pass1,DeepSWE Pass@1,0.736486,85.378801
claude-opus-5-max,Opus 5,capability,epoch-chess-puzzles,Chess puzzles,0.42,88.168577
claude-opus-5-max,Opus 5,capability,epoch-critpt,CritPt,0.291429,79.310246
claude-opus-5-max,Opus 5,capability,epoch-gpqa,GPQA Diamond,0.938763,89.878063
claude-opus-5-max,Opus 5,capability,epoch-otis-aime,OTIS Mock AIME,0.988889,96.680907
claude-opus-5-max,Opus 5,capability,epoch-scicode,SciCode,0.556713,88.85987
claude-opus-5-max,Opus 5,capability,epoch-weirdml,WeirdML,0.9178,99.86501
claude-opus-5-max,Opus 5,operational_efficiency,deepswe-agent-steps,DeepSWE steps,99.042793,27.237815
claude-opus-5-max,Opus 5,operational_efficiency,deepswe-output-tokens,DeepSWE tokens,117565.693694,14.008026
claude-opus-5-max,Opus 5,access_economics,weirdml-cost-per-run,WeirdML cost/run,4.741955,15.958286
gpt-5.4-2026-03-05-xhigh,GPT-5.4,capability,deepswe-v1.1-pass1,DeepSWE Pass@1,0.517699,46.090285
gpt-5.4-2026-03-05-xhigh,GPT-5.4,capability,epoch-chess-puzzles,Chess puzzles,0.44,89.871627
gpt-5.4-2026-03-05-xhigh,GPT-5.4,capability,epoch-critpt,CritPt,0.234286,76.595483
gpt-5.4-2026-03-05-xhigh,GPT-5.4,capability,epoch-gpqa,GPQA Diamond,0.933,88.446732
